trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997}",20,0,-107.68482494446123,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.994}",25,0,-142.30539119268033,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.991}",20,0,-130.04136299534176,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.988}",30,0,-167.00742389597937,"{0: 16, 1: 3, 2: 7, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.985}",20,0,-121.83860409091714,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.982}",25,0,-201.68673862577074,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.979}",25,3,-97.36960343779968,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.976}",20,0,-164.65298020061218,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.973}",20,13,-44.810060408917764,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.97}",20,0,-105.67023738140566,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.967}",25,0,-12.820397564479773,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.964}",25,10,-86.67719594747551,"{0: 9, 1: 4, 2: 0, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.961}",20,0,-120.15378773727706,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.958}",25,0,-108.23937129356912,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.955}",30,0,-191.11822384779026,"{0: 18, 1: 5, 2: 1, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.952}",25,0,-79.77882696878088,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.949}",20,0,-59.227665898183844,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.946}",25,0,-95.74464515704766,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.943}",20,0,-105.43995950161006,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.94}",25,9,-97.68407765569103,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.9369999999999999}",25,0,-72.62440088820655,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9339999999999999}",20,0,-120.28073929456845,"{0: 10, 1: 2, 2: 4, 3: 4, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9309999999999999}",25,0,-127.71327738981161,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9279999999999999}",30,0,-99.97679103312315,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
