trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.03685135876077,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.79646586621169,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,4,-127.94167399323825,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.24489854174583,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.55996079017822,"{0: 13, 1: 7, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.72773088915517,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.75446360656991,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.64529660915383,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-242.47096262663922,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.62267608965787,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.73957201431278,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.5339152101939,"{0: 9, 1: 5, 2: 6, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.04250552689896,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.88657342607326,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,20,-50.51327326293152,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,6,-11.391997079722657,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.025223556397314,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.60596199140056,"{0: 17, 1: 7, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.74476719355529,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.20785276288674,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.38900640386026,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.5197941419712,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.83757210277405,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.84234073551285,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.90164096376628,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-132.13854447030175,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,9,-37.849569201598136,"{0: 11, 1: 3, 2: 0, 3: 2, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.9222822600337,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-202.17553298542293,"{0: 15, 1: 6, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.59601917508744,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
